"","mean","sd","2.5%","97.5%"
"mu_s",4.13,0.22,3.66,4.53
"sig_s",0.6,0.25,0.27,1.2
"mu_a0",-1.33,0.59,-2.55,-0.2
"sig_a0",1.71,0.52,0.97,2.97
"mu_a1",-0.24,0.45,-1.21,0.58
"sig_a1",0.95,0.42,0.35,1.98
"mu_b1",-0.65,0.37,-1.48,-0.03
"sig_b1",0.65,0.36,0.24,1.59
"r.N",1.32,0.27,0.89,1.93
"r.G",2.11,0.36,1.49,2.91
"asig[1]",4.28,0.17,3.95,4.61
"asig[2]",3.88,0.17,3.55,4.21
"asig[3]",4.62,0.14,4.34,4.9
"asig[4]",3.77,0.56,2.61,4.79
"asig[5]",4.67,0.27,4.22,5.26
"asig[6]",4.59,0.1,4.41,4.79
"asig[7]",3.6,0.53,2.49,4.57
"asig[8]",3.98,0.59,2.82,5.18
"asig[9]",4.03,0.25,3.56,4.56
"asig[10]",4.4,0.32,3.84,5.09
"asig[11]",3.56,0.38,2.8,4.25
"alpha0[1]",0.54,0.35,-0.21,1.13
"alpha0[2]",-1.87,1.08,-4.2,0.04
"alpha0[3]",0.03,0.35,-0.74,0.63
"alpha0[4]",-3.05,1.12,-5.57,-1.04
"alpha0[5]",-2.73,0.62,-4.09,-1.67
"alpha0[6]",0.99,0.21,0.55,1.38
"alpha0[7]",-2.71,0.99,-4.81,-0.89
"alpha0[8]",-0.59,0.26,-1.14,-0.13
"alpha0[9]",-1.36,0.54,-2.56,-0.42
"alpha0[10]",-2.91,0.79,-4.64,-1.57
"alpha0[11]",-1.06,0.71,-2.5,0.33
"alpha1[1]",-0.19,0.53,-1.24,0.89
"alpha1[2]",-0.48,0.97,-2.57,1.33
"alpha1[3]",0.63,0.53,-0.4,1.71
"alpha1[4]",-0.61,1.04,-3.05,1.12
"alpha1[5]",0.02,0.7,-1.39,1.39
"alpha1[6]",0.65,0.39,-0.13,1.43
"alpha1[7]",-0.73,1.02,-3.18,0.93
"alpha1[8]",-1.2,0.58,-2.38,-0.1
"alpha1[9]",-0.68,0.79,-2.45,0.68
"alpha1[10]",0.18,0.8,-1.38,1.81
"alpha1[11]",-0.27,0.72,-1.81,1.07
"beta0[1]",2.43,0.12,2.2,2.66
"beta0[2]",0.92,0.17,0.58,1.27
"beta0[3]",0.26,0.15,0.02,0.59
"beta0[5]",0.33,0.28,0.01,1.02
"beta0[6]",0.11,0.08,0,0.31
"beta0[8]",1.23,0.14,0.95,1.51
"beta0[11]",0.37,0.29,0.01,1.07
"beta1[1]",-0.4,0.22,-0.82,0.04
"beta1[2]",-0.99,0.63,-2.45,0.03
"beta1[3]",-0.7,0.28,-1.27,-0.18
"beta1[5]",-0.6,0.55,-1.78,0.4
"beta1[6]",0.03,0.17,-0.31,0.36
"beta1[8]",-0.93,0.52,-2.07,-0.03
"beta1[11]",-0.97,0.77,-2.84,0.19
"bsig1",0.52,0.07,0.39,0.65
"bsig2",0.43,0.22,-0.01,0.87
"RegGS[1,1]",28.21,5.21,19.17,39.65
"RegGS[2,1]",7.73,1.77,4.75,11.63
"RegGS[3,1]",1.86,0.42,1.18,2.81
"RegGS[5,1]",0.14,0.08,0.04,0.35
"RegGS[6,1]",3.49,0.45,2.71,4.46
"RegGS[8,1]",2.23,0.5,1.41,3.36
"RegGS[11,1]",0.87,0.98,0.18,2.95
"RegGS[1,2]",24.37,6.4,14.06,39.1
"RegGS[2,2]",0.66,0.57,0.07,2.15
"RegGS[3,2]",2.4,0.69,1.29,3.95
"RegGS[5,2]",0.13,0.12,0.02,0.46
"RegGS[6,2]",10.63,1.53,7.92,13.86
"RegGS[8,2]",0.35,0.24,0.07,0.95
"RegGS[11,2]",0.43,0.54,0.02,1.76
"deviance",4780.48,46.01,4691.57,4871.15
