FID,Animal,Count,Bearing,Distance,NObservers,Vehicle,Day,Month,Year,Territory,StartingTi,Time,CarNorthin,CarEasting,AdjNorthin,AdjEasting,AccurateCo,FirstDetec,Sample_ID,Site_ID,DSclass
0,Hyena,1,179,321,1,HiLux,26,8,2012,West,6:29,7:37,9833781.389,749457.7009,9833460.438,749463.3031,1,1,1,14,7
1,Hyena,25,80,202,1,HiLux,26,8,2012,West,6:29,8:04,9833809.143,746756.8478,9833844.22,746955.779,0,1,1,15,4
2,Lion,1,80,202,1,HiLux,26,8,2012,West,6:29,8:04,9833809.143,746756.8478,9833844.22,746955.779,0,1,1,15,4
3,Lion,4,141,577.5,1,HiLux,26,8,2012,West,6:29,8:19,9834421.443,747721.7477,9833972.641,748085.1803,0,0,1,15,9
4,Hyena,18,141,577.5,1,HiLux,26,8,2012,West,6:29,8:19,9834421.443,747721.7477,9833972.641,748085.1803,0,0,1,15,9
5,Hyena,1,358,67.5,1,HiLux,26,8,2012,West,6:29,8:26,9834921.727,747074.626,9834989.186,747072.2702,1,1,1,15,1
6,Hyena,1,31,237,1,HiLux,26,8,2012,West,6:29,8:29,9835244.728,746985.1328,9835447.877,747107.1968,1,1,1,15,1
7,Hyena,1,331,313,1,HiLux,26,8,2012,West,6:29,8:41,9835909.536,747402.4173,9836181.958,747248.2887,1,1,1,15,1
8,Hyena,5,24,395,1,HiLux,27,8,2012,West,6:25,6:28,9835508.694,747754.6575,9835869.544,747915.3185,1,1,1,15,8
9,Hyena,1,18,700,1,HiLux,27,8,2012,West,6:25,6:32,9835788.926,747509.2565,9836454.665,747725.5684,1,1,1,15,10
10,BlackBackedJackal,3,187,288,1,HiLux,27,8,2012,West,6:25,6:47,9837849.599,745211.6695,9837563.746,745176.5711,1,1,1,16,4
11,Hyena,2,335,262,1,HiLux,27,8,2012,West,6:25,7:13,9834753.391,745410.3886,9834990.843,745299.6626,1,1,1,16,3
12,BlackBackedJackal,2,187,95,1,HiLux,27,8,2012,West,6:25,8:34,9840020.589,744631.4206,9839926.297,744619.843,1,1,1,17,1
13,BatEaredFox,2,58,67,2,HiLux,28,8,2012,West,6:26,7:25,9840135.21,744566.0191,9840170.715,744622.8384,1,1,1,17,2
14,BandedMongoose,19,119,201.5,2,HiLux,28,8,2012,West,6:26,8:13,9838421.119,746119.4394,9838323.43,746295.6753,1,1,1,17,1
15,Hyena,2,179,577,2,HiLux,28,8,2012,West,6:26,9:26,9835895.619,748682.1076,9835318.707,748692.1777,1,1,1,14,3
16,BlackBackedJackal,1,330,14,2,HiLux,28,8,2012,West,6:26,10:01,9833366.684,747057.9229,9833378.809,747050.9229,1,1,1,15,1
17,Hyena,1,304,46.5,2,HiLux,28,8,2012,West,6:26,10:13,9834928.509,747455.6314,9834954.511,747417.0812,1,1,1,15,1
18,Hyena,2,112,124,2,HiLux,28,8,2012,West,6:26,11:09,9836746.665,744516.4793,9836700.214,744631.4501,1,0,1,16,3
19,Hyena,2,153,231,1,HiLux,18,10,2012,West,6:06,8:56,9835908.121,746021.2858,9835702.298,746126.1576,1,1,2,16,2
20,BandedMongoose,18,335,184,1,HiLux,18,10,2012,West,6:06,9:49,9839960.903,742282.2641,9840127.664,742204.5023,1,1,2,17,1
21,BandedMongoose,7,336,95.5,1,HiLux,18,10,2012,West,6:06,9:51,9840233.993,742172.7118,9840321.237,742133.8685,1,1,2,17,1
22,Hyena,1,38,179,1,HiLux,19,10,2012,West,6:05,6:06,9835510.135,747750.7959,9835651.189,747860.9993,1,1,2,15,4
23,Hyena,2,296,78,1,HiLux,19,10,2012,West,6:05,6:08,9835515.651,747742.0584,9835549.844,747671.9524,1,1,2,15,1
24,Hyena,1,288,80,1,HiLux,19,10,2012,West,6:05,6:10,9835546.639,747712.3707,9835571.36,747636.2861,1,1,2,15,1
25,Hyena,1,325,194,1,HiLux,19,10,2012,West,6:05,6:14,9835865.076,747441.8517,9836023.992,747330.5779,1,1,2,15,1
26,Hyena,4,251,166,1,HiLux,19,10,2012,West,6:05,6:17,9836422.276,747095.8974,9836368.232,746938.9413,1,1,2,15,3
27,Hyena,13,326,259,1,HiLux,19,10,2012,West,6:05,6:19,9836425.179,747094.9485,9836639.9,746950.1175,1,1,2,15,1
28,Hyena,3,232,273.5,1,HiLux,19,10,2012,West,6:05,7:00,9834850.598,745995.6107,9834682.215,745780.0898,1,1,2,16,3
29,Hyena,1,224,416.5,1,HiLux,19,10,2012,West,6:05,7:22,9836933.382,744366.9511,9836633.777,744077.6258,1,1,2,16,5
30,BlackBackedJackal,1,252,105,1,HiLux,19,10,2012,West,6:05,8:39,9839540.876,744716.2675,9839508.429,744616.4066,1,1,2,17,3
31,BlackBackedJackal,1,4,129,1,HiLux,19,10,2012,West,6:05,9:28,9837327.146,749192.5203,9837455.832,749201.5189,1,1,2,14,1
32,BlackBackedJackal,1,156,23,1,HiLux,19,10,2012,West,6:05,10:22,9834392.824,749746.2634,9834371.813,749755.6183,1,1,2,14,1
33,Hyena,4,300,153.5,1,HiLux,19,10,2012,West,6:05,10:26,9834328.744,749966.4562,9834405.494,749833.5213,1,1,2,14,1
34,Hyena,1,17,403.5,1,HiLux,20,10,2012,West,6:08,6:08,9838567.993,744337.7547,9838953.862,744455.7267,1,1,2,16,6
35,Hyena,2,95,372,1,HiLux,20,10,2012,West,6:08,6:41,9840310.814,743237.162,9840278.392,743607.7464,1,1,2,17,3
36,Hyena,1,62,239,1,HiLux,20,10,2012,West,6:08,6:41,9840310.814,743237.162,9840423.017,743448.1865,1,0,2,17,4
37,Hyena,2,91,338,1,HiLux,20,10,2012,West,6:08,6:47,9840196.814,743544.1962,9840190.915,743882.1447,1,0,2,17,2
38,SlenderMongoose,1,165,17,1,HiLux,20,10,2012,West,6:08,7:42,9838137.05,747299.5553,9838120.629,747303.9553,1,1,2,17,1
39,Hyena,2,196,63,1,HiLux,20,10,2012,West,6:08,10:14,9835826.811,746047.219,9835766.252,746029.8538,1,1,2,16,1
40,Hyena,1,42,109,1,WhiteCruiser,2,12,2012,West,6:10,8:04,9834964.701,745091.8336,9835045.704,745164.7689,1,1,3,16,3
41,Hyena,1,357,415,1,WhiteCruiser,2,12,2012,West,6:10,8:34,9839029.246,743948.156,9839443.677,743926.4366,1,1,3,16,7
42,BatEaredFox,1,19,17.5,1,WhiteCruiser,2,12,2012,West,6:10,8:57,9840358.718,742909.7979,9840375.265,742915.4954,1,1,3,17,1
43,Hyena,1,102,459.5,1,WhiteCruiser,2,12,2012,West,6:10,9:01,9840282.056,743312.453,9840186.52,743761.9118,1,0,3,17,2
44,Hyena,2,358,403,1,WhiteCruiser,3,12,2012,West,6:11,6:28,9837716.391,745667.2119,9838119.146,745653.1474,1,1,3,15,7
45,Hyena,1,24,523.5,1,WhiteCruiser,3,12,2012,West,6:11,7:24,9838595.277,744340.1233,9839073.518,744553.05,1,1,3,16,9
46,Hyena,1,352,333,1,WhiteCruiser,3,12,2012,West,6:11,7:24,9838595.277,744340.1233,9838925.036,744293.7787,1,1,3,16,3
47,BandedMongoose,10,104,85,1,WhiteCruiser,3,12,2012,West,6:11,8:14,9839802.777,745430.6374,9839782.213,745513.1126,0,1,3,17,2
