Animal,Count,Sample_ID,Site_ID,DSclass
Hyena,1,1,14,7
Hyena,25,1,15,4
Lion,1,1,15,4
Lion,4,1,15,9
Hyena,18,1,15,9
Hyena,1,1,15,1
Hyena,1,1,15,1
Hyena,1,1,15,1
Hyena,5,1,15,8
Hyena,1,1,15,10
BlackBackedJackal,3,1,16,4
Hyena,2,1,16,3
BlackBackedJackal,2,1,17,1
BatEaredFox,2,1,17,2
BandedMongoose,19,1,17,1
Hyena,2,1,14,3
BlackBackedJackal,1,1,15,1
Hyena,1,1,15,1
Hyena,2,1,16,3
Hyena,2,2,16,2
BandedMongoose,18,2,17,1
BandedMongoose,7,2,17,1
Hyena,1,2,15,4
Hyena,2,2,15,1
Hyena,1,2,15,1
Hyena,1,2,15,1
Hyena,4,2,15,3
Hyena,13,2,15,1
Hyena,3,2,16,3
Hyena,1,2,16,5
BlackBackedJackal,1,2,17,3
BlackBackedJackal,1,2,14,1
BlackBackedJackal,1,2,14,1
Hyena,4,2,14,1
Hyena,1,2,16,6
Hyena,2,2,17,3
Hyena,1,2,17,4
Hyena,2,2,17,2
SlenderMongoose,1,2,17,1
Hyena,2,2,16,1
Hyena,1,3,16,3
Hyena,1,3,16,7
BatEaredFox,1,3,17,1
Hyena,1,3,17,2
Hyena,2,3,15,7
Hyena,1,3,16,9
Hyena,1,3,16,3
BandedMongoose,10,3,17,2
BlackBackedJackal,2,3,17,13
Lion,1,3,17,1
BlackBackedJackal,2,3,17,1
Cheetah,1,3,16,7
Hyena,1,3,16,1
Hyena,1,4,14,1
Hyena,1,4,14,4
Hyena,1,4,14,2
Hyena,1,4,15,7
Cheetah,3,4,16,1
BandedMongoose,6,4,17,1
BlackBackedJackal,1,4,15,2
BandedMongoose,6,4,14,3
Hyena,1,4,14,1
BlackBackedJackal,1,4,14,1
Hyena,1,4,17,2
Hyena,1,4,17,8
Hyena,1,4,17,3
Hyena,1,4,17,1
Hyena,1,4,14,4
Hyena,3,4,14,5
BlackBackedJackal,1,4,14,5
BandedMongoose,3,4,16,2
Cheetah,1,5,15,6
BandedMongoose,1,5,17,1
Lion,1,5,16,7
Hyena,1,5,16,1
BandedMongoose,4,5,17,2
BatEaredFox,1,5,17,2
BlackBackedJackal,2,5,14,2
Hyena,1,6,15,1
Hyena,1,6,15,1
Hyena,1,6,15,7
BlackBackedJackal,2,6,16,2
Hyena,11,6,17,5
Hyena,2,6,17,1
BlackBackedJackal,2,6,17,3
Hyena,1,6,17,4
BlackBackedJackal,1,6,14,1
Hyena,1,6,17,3
Hyena,1,6,17,10
Hyena,1,6,17,5
Hyena,1,6,17,7
Hyena,1,6,17,9
BandedMongoose,8,6,14,1
BlackBackedJackal,2,7,15,1
BlackBackedJackal,2,7,14,1
Hyena,1,7,14,2
Hyena,1,7,17,4
BlackBackedJackal,2,7,14,3
Hyena,1,7,14,1
Hyena,1,7,14,3
BlackBackedJackal,2,8,14,1
BlackBackedJackal,1,8,17,1
Hyena,1,8,17,1
Hyena,1,8,17,7
Hyena,1,8,17,1
BlackBackedJackal,1,8,17,1
Hyena,2,8,17,7
Hyena,2,8,17,1
BlackBackedJackal,1,8,17,5
Hyena,3,8,16,1
Hyena,1,8,16,1
BlackBackedJackal,1,8,17,1
Hyena,1,8,17,1
Hyena,2,8,17,2
Hyena,2,8,17,4
BlackBackedJackal,1,8,15,1
Hyena,1,9,14,6
BlackBackedJackal,1,9,17,4
